rank,name,link,symbol,feixiaohao,volume-usd,website,chat,date,exchangeNumber
23,OmiseGO,https://coinmarketcap.com/currencies/omisego/,OMG,https://www.feixiaohao.com/currencies/omisego/,116021000.0,https://omg.omise.co/,"https://telegram.me/omisego , https://omg.omise.co/slack",2017-06-27,31
24,Zcash,https://coinmarketcap.com/currencies/zcash/,ZEC,https://www.feixiaohao.com/currencies/zcash/,247661000.0,https://z.cash/,,2016-10-28,40
25,Stratis,https://coinmarketcap.com/currencies/stratis/,STRAT,https://www.feixiaohao.com/currencies/stratis/,71993900.0,http://stratisplatform.com/,https://t.me/StratisPlatform,2016-08-06,10
26,Populous,https://coinmarketcap.com/currencies/populous/,PPT,https://www.feixiaohao.com/currencies/populous/,6680160.0,http://populous.co/,"https://bitpopulous.slack.com/ , https://t.me/ppttalk",2017-07-11,6
27,VeChain,https://coinmarketcap.com/currencies/vechain/,VEN,https://www.feixiaohao.com/currencies/vechain/,160518000.0,https://www.vechain.com/,"https://t.me/vechain_official_english , https://t.me/joinchat/GG4BlQwm19czcBGOewv40Q",2017-08-23,12
28,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,BNB,https://www.feixiaohao.com/currencies/binance-coin/,348699000.0,https://www.binance.com/,,2017-07-26,2
29,Siacoin,https://coinmarketcap.com/currencies/siacoin/,SC,https://www.feixiaohao.com/currencies/siacoin/,126657000.0,http://sia.tech/,https://discord.gg/sia,2015-07-03,9
30,Verge,https://coinmarketcap.com/currencies/verge/,XVG,https://www.feixiaohao.com/currencies/verge/,141179000.0,http://vergecurrency.com/,"https://t.me/VERGExvg , https://discord.gg/vergecurrency",2014-10-09,10
31,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,BCN,https://www.feixiaohao.com/currencies/bytecoin-bcn/,11023600.0,https://bytecoin.org/,https://telegram.me/bytecoinchat,2012-07-04,3
32,Status,https://coinmarketcap.com/currencies/status/,SNT,https://www.feixiaohao.com/currencies/status/,1107520000.0,http://status.im/,https://chat.status.im/#/register,2017-06-29,20
33,KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,KCS,https://www.feixiaohao.com/currencies/kucoin-shares/,16034500.0,https://www.kucoin.com/,,2017-10-25,0
34,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,https://www.feixiaohao.com/currencies/steem/,26291300.0,"https://steem.io/ , https://steemit.com/",,2016-03-24,5
35,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,https://www.feixiaohao.com/currencies/bitshares/,102401000.0,https://bitshares.org,https://t.me/BitSharesDEX,2014-07-19,18
36,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,https://www.feixiaohao.com/currencies/waves/,52699300.0,https://wavesplatform.com/,"https://telegram.me/wavesnews , http://wavesplatform.herokuapp.com/",2016-05-31,19
37,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,https://www.feixiaohao.com/currencies/dogecoin/,59498800.0,http://dogecoin.com/,https://discord.me/dogecoin/,2013-12-12,53
38,Dragonchain,https://coinmarketcap.com/currencies/dragonchain/,DRGN,https://www.feixiaohao.com/currencies/dragonchain/,7974210.0,https://dragonchain.com/,https://t.me/dragontalk,2017-12-04,7
39,Augur,https://coinmarketcap.com/currencies/augur/,REP,https://www.feixiaohao.com/currencies/augur/,26104600.0,http://www.augur.net/,,2016-10-04,19
40,0x,https://coinmarketcap.com/currencies/0x/,ZRX,https://www.feixiaohao.com/currencies/0x/,44991300.0,https://0xproject.com/,,2017-08-17,15
41,Electroneum,https://coinmarketcap.com/currencies/electroneum/,ETN,https://www.feixiaohao.com/currencies/electroneum/,9267860.0,http://electroneum.com/,https://t.me/joinchat/DxoSakHOdk5mqsE-LelfVg,2017-11-03,1
42,Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,VERI,https://www.feixiaohao.com/currencies/veritaseum/,559261.0,http://veritas.veritaseum.com/,,,3
43,SALT,https://coinmarketcap.com/currencies/salt/,SALT,https://www.feixiaohao.com/currencies/salt/,18425600.0,https://www.saltlending.com/,https://t.me/joinchat/BmtZ5kKgf4ekiNLggHRDmQ,2017-09-30,8
44,SmartCash,https://coinmarketcap.com/currencies/smartcash/,SMART,https://www.feixiaohao.com/currencies/smartcash/,939267.0,https://smartcash.cc/,,2017-07-22,3
45,Komodo,https://coinmarketcap.com/currencies/komodo/,KMD,https://www.feixiaohao.com/currencies/komodo/,12794100.0,https://komodoplatform.com/,https://telegram.me/KomodoPlatform_Official,,7
46,DigiByte,https://coinmarketcap.com/currencies/digibyte/,DGB,https://www.feixiaohao.com/currencies/digibyte/,38053700.0,http://www.digibyte.io/,https://t.me/DigiByteCoin,2014-01-14,16
47,QASH,https://coinmarketcap.com/currencies/qash/,QASH,https://www.feixiaohao.com/currencies/qash/,38598800.0,https://liquid.plus/,https://t.me/QUOINE,2017-11-22,7
48,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,https://www.feixiaohao.com/currencies/golem-network-tokens/,20864600.0,https://golem.network/,,2016-11-11,16
49,Gas,https://coinmarketcap.com/currencies/gas/,GAS,https://www.feixiaohao.com/currencies/gas/,59269300.0,https://neo.org/,,,9
50,Decred,https://coinmarketcap.com/currencies/decred/,DCR,https://www.feixiaohao.com/currencies/decred/,5178700.0,"https://www.decred.org/ , https://docs.decred.org/","https://slack.decred.org/ , https://discord.gg/GJ2GXfz",,8
51,Ark,https://coinmarketcap.com/currencies/ark/,ARK,https://www.feixiaohao.com/currencies/ark/,12954900.0,http://ark.io/,https://ark.io/slack,2017-05-24,9
52,Ethos,https://coinmarketcap.com/currencies/ethos/,ETHOS,https://www.feixiaohao.com/currencies/ethos/,17875900.0,https://www.ethos.io/,,,0
53,Walton,https://coinmarketcap.com/currencies/walton/,WTC,https://www.feixiaohao.com/currencies/walton/,65384300.0,http://www.waltonchain.org/,https://t.me/waltonchain_en,2017-08-28,7
54,WAX,https://coinmarketcap.com/currencies/wax/,WAX,https://www.feixiaohao.com/currencies/wax/,7802400.0,https://wax.io/,"https://t.me/wax_io , https://t.me/waxtokenannoucements",2017-12-21,3
55,RChain,https://coinmarketcap.com/currencies/rchain/,RHOC,https://www.feixiaohao.com/currencies/rchain/,1224260.0,https://www.rchain.coop/,,2017-10-07,3
56,Dentacoin,https://coinmarketcap.com/currencies/dentacoin/,DCN,https://www.feixiaohao.com/currencies/dentacoin/,3810210.0,http://www.dentacoin.com/,https://t.me/dentacoin,2017-08-12,4
57,Loopring,https://coinmarketcap.com/currencies/loopring/,LRC,https://www.feixiaohao.com/currencies/loopring/,13523100.0,https://loopring.org,https://loopring.rocket.chat/,2017-08-31,13
58,Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,BAT,https://www.feixiaohao.com/currencies/basic-attention-token/,23680400.0,https://basicattentiontoken.org/,,2017-05-31,11
59,PIVX,https://coinmarketcap.com/currencies/pivx/,PIVX,https://www.feixiaohao.com/currencies/pivx/,8727630.0,http://www.pivx.org,,2016-01-30,9
60,Hshare,https://coinmarketcap.com/currencies/hshare/,HSR,https://www.feixiaohao.com/currencies/hshare/,111505000.0,https://h.cash/,,2017-08-21,29
61,Byteball Bytes,https://coinmarketcap.com/currencies/byteball/,GBYTE,https://www.feixiaohao.com/currencies/byteball/,2847690.0,https://byteball.org/,https://t.me/byteball,2017-01-30,3
62,Kyber Network,https://coinmarketcap.com/currencies/kyber-network/,KNC,https://www.feixiaohao.com/currencies/kyber-network/,20473300.0,https://kyber.network/,https://t.me/kybernetwork,2017-09-25,12
63,ZClassic,https://coinmarketcap.com/currencies/zclassic/,ZCL,https://www.feixiaohao.com/currencies/zclassic/,20739600.0,http://zclassic.org/,,,4
64,Aion,https://coinmarketcap.com/currencies/aion/,AION,https://www.feixiaohao.com/currencies/aion/,10772900.0,https://aion.network/,,2017-10-19,3
65,FunFair,https://coinmarketcap.com/currencies/funfair/,FUN,https://www.feixiaohao.com/currencies/funfair/,17736500.0,https://funfair.io/,"https://t.me/FunFairTech/ , https://discordapp.com/invite/rwETqSP",2017-06-28,7
66,Factom,https://coinmarketcap.com/currencies/factom/,FCT,https://www.feixiaohao.com/currencies/factom/,21459300.0,http://factom.org/,,2015-09-05,7
67,Nexus,https://coinmarketcap.com/currencies/nexus/,NXS,https://www.feixiaohao.com/currencies/nexus/,2701690.0,http://www.nexusearth.com/,,,5
68,Dent,https://coinmarketcap.com/currencies/dent/,DENT,https://www.feixiaohao.com/currencies/dent/,34403700.0,https://www.dentcoin.com/,https://t.me/dentcoin,2017-08-13,6
69,Neblio,https://coinmarketcap.com/currencies/neblio/,NEBL,https://www.feixiaohao.com/currencies/neblio/,91846700.0,https://nebl.io/,https://t.me/joinchat/GFVgz0G-oVXOIJGfFYD-vg,2017-09-13,5
70,DigixDAO,https://coinmarketcap.com/currencies/digixdao/,DGD,https://www.feixiaohao.com/currencies/digixdao/,10529600.0,https://digix.io/,,2016-03-01,9
71,Kin,https://coinmarketcap.com/currencies/kin/,KIN,https://www.feixiaohao.com/currencies/kin/,773967.0,"http://kinecosystem.org/ , https://kin.kik.com",https://t.me/kincurrency,2017-09-28,6
72,MonaCoin,https://coinmarketcap.com/currencies/monacoin/,MONA,https://www.feixiaohao.com/currencies/monacoin/,10036200.0,http://monacoin.org,,2013-12-01,10
73,GXShares,https://coinmarketcap.com/currencies/gxshares/,GXS,https://www.feixiaohao.com/currencies/gxshares/,9521030.0,https://gxs.gxb.io/,https://t.me/GXB_International,2017-06-15,8
74,Aeternity,https://coinmarketcap.com/currencies/aeternity/,AE,https://www.feixiaohao.com/currencies/aeternity/,3183500.0,https://www.aeternity.com/,https://telegram.me/aeternity,,12
75,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,https://www.feixiaohao.com/currencies/maidsafecoin/,7682920.0,http://maidsafe.net,,2006-02-03,7
76,Substratum,https://coinmarketcap.com/currencies/substratum/,SUB,https://www.feixiaohao.com/currencies/substratum/,18571100.0,https://substratum.net/,https://t.me/SubstratumCommunity,2017-09-26,7
77,Request Network,https://coinmarketcap.com/currencies/request-network/,REQ,https://www.feixiaohao.com/currencies/request-network/,23442100.0,https://request.network/,"https://t.me/requestnetwork , https://open.kakao.com/o/g0Y6wJA",2017-10-21,9
78,Experience Points,https://coinmarketcap.com/currencies/experience-points/,XP,https://www.feixiaohao.com/currencies/experience-points/,3372800.0,http://www.xpcoin.io/,"https://t.me/xpcoin , https://discordapp.com/invite/NYMAUec",,3
79,Syscoin,https://coinmarketcap.com/currencies/syscoin/,SYS,https://www.feixiaohao.com/currencies/syscoin/,10972800.0,http://syscoin.org,https://t.me/joinchat/AAAAAEHzByog3h1qutnjhQ,2014-08-16,8
80,Power Ledger,https://coinmarketcap.com/currencies/power-ledger/,POWR,https://www.feixiaohao.com/currencies/power-ledger/,51543700.0,https://powerledger.io/,https://t.me/joinchat/Gop-90DIMiPF7N_EtvFzjA,2017-11-02,9
81,ZCoin,https://coinmarketcap.com/currencies/zcoin/,XZC,https://www.feixiaohao.com/currencies/zcoin/,8466800.0,https://zcoin.io,https://discordapp.com/invite/4FjnQ2q,2016-09-01,10
82,ReddCoin,https://coinmarketcap.com/currencies/reddcoin/,RDD,https://www.feixiaohao.com/currencies/reddcoin/,19395500.0,http://www.reddcoin.com/,,2014-02-02,7
83,aelf,https://coinmarketcap.com/currencies/aelf/,ELF,https://www.feixiaohao.com/currencies/aelf/,74477000.0,http://aelf.io/,https://t.me/aelfblockchain,2017-12-21,8
84,Nxt,https://coinmarketcap.com/currencies/nxt/,NXT,https://www.feixiaohao.com/currencies/nxt/,23953800.0,https://nxt.org/,https://t.me/NXTCommunity,2013-11-24,14
85,Bancor,https://coinmarketcap.com/currencies/bancor/,BNT,https://www.feixiaohao.com/currencies/bancor/,10124500.0,https://bancor.network/,https://telegram.me/bancor,2017-06-13,10
86,Bytom,https://coinmarketcap.com/currencies/bytom/,BTM,https://www.feixiaohao.com/currencies/bytom/,37045900.0,http://bytom.io/,"https://t.me/BytomInternational , https://t.me/bytomchinese",2017-08-09,16
87,Particl,https://coinmarketcap.com/currencies/particl/,PART,https://www.feixiaohao.com/currencies/particl/,1399080.0,http://particl.io/,"https://t.me/particlproject , https://t.me/particlnews",2017-07-21,4
88,Enigma,https://coinmarketcap.com/currencies/enigma-project/,ENG,https://www.feixiaohao.com/currencies/enigma-project/,18204500.0,https://enigma.co/,"https://t.me/enigmacatalyst , https://discord.gg/SJK32GY",2017-10-14,7
89,GameCredits,https://coinmarketcap.com/currencies/gamecredits/,GAME,https://www.feixiaohao.com/currencies/gamecredits/,12129600.0,http://gamecredits.com,https://discordapp.com/invite/vDEYBTc,2014-02-14,12
90,Cryptonex,https://coinmarketcap.com/currencies/cryptonex/,CNX,https://www.feixiaohao.com/currencies/cryptonex/,240825.0,https://cryptonex.org/,,2017-10-08,3
91,XPlay,https://coinmarketcap.com/currencies/xplay/,XPA,https://www.feixiaohao.com/currencies/xplay/,540888.0,https://xplay.fund/,https://t.me/joinchat/CvaXNg4T_y13oqxdix9y9w,2017-09-20,2
92,Nebulas,https://coinmarketcap.com/currencies/nebulas-token/,NAS,https://www.feixiaohao.com/currencies/nebulas-token/,26873800.0,https://nebulas.io/,https://t.me/nebulasio,,0
93,TenX,https://coinmarketcap.com/currencies/tenx/,PAY,https://www.feixiaohao.com/currencies/tenx/,18264900.0,https://www.tenx.tech/,,2017-07-27,19
94,MediBloc,https://coinmarketcap.com/currencies/medibloc/,MED,https://www.feixiaohao.com/currencies/medibloc/,18575500.0,https://medibloc.org/en/,https://t.me/medibloc,2017-12-22,1
95,BitcoinDark,https://coinmarketcap.com/currencies/bitcoindark/,BTCD,https://www.feixiaohao.com/currencies/bitcoindark/,207765.0,http://bitcoindark.com/,http://slackinvite.supernet.org/,2014-07-09,4
96,Quantstamp,https://coinmarketcap.com/currencies/quantstamp/,QSP,https://www.feixiaohao.com/currencies/quantstamp/,34922200.0,https://quantstamp.com/,https://t.me/quantstamp,2017-11-22,5
97,Civic,https://coinmarketcap.com/currencies/civic/,CVC,https://www.feixiaohao.com/currencies/civic/,21691000.0,https://www.civic.com/,,2017-07-18,16
98,Bitcore,https://coinmarketcap.com/currencies/bitcore/,BTX,https://www.feixiaohao.com/currencies/bitcore/,1609690.0,http://bitcore.cc/,https://t.me/bitcore_btx_official,2017-04-24,5
99,Gnosis,https://coinmarketcap.com/currencies/gnosis-gno/,GNO,https://www.feixiaohao.com/currencies/gnosis-gno/,5909150.0,https://gnosis.pm/,,2017-04-24,11
100,Iconomi,https://coinmarketcap.com/currencies/iconomi/,ICN,https://www.feixiaohao.com/currencies/iconomi/,9062190.0,https://www.iconomi.net/,,2016-12-21,9
101,ChainLink,https://coinmarketcap.com/currencies/chainlink/,LINK,https://www.feixiaohao.com/currencies/chainlink/,7601540.0,https://smartcontract.com/,,2017-09-21,7
102,Emercoin,https://coinmarketcap.com/currencies/emercoin/,EMC,https://www.feixiaohao.com/currencies/emercoin/,2560820.0,http://emercoin.com/,,2013-12-08,9
103,Skycoin,https://coinmarketcap.com/currencies/skycoin/,SKY,https://www.feixiaohao.com/currencies/skycoin/,523852.0,http://skycoin.net/,,,2
104,BitConnect,https://coinmarketcap.com/currencies/bitconnect/,BCC,https://www.feixiaohao.com/currencies/bitconnect/,9049360.0,"https://www.bitconnect.co/ , https://bitconnectcoin.co/",,,5
105,Raiden Network Token,https://coinmarketcap.com/currencies/raiden-network-token/,RDN,https://www.feixiaohao.com/currencies/raiden-network-token/,15197800.0,https://raiden.network/,"https://riot.im/app/#/room/#raiden-network:matrix.org , https://gitter.im/raiden-network/raiden",2017-11-09,9
106,Cobinhood,https://coinmarketcap.com/currencies/cobinhood/,COB,https://www.feixiaohao.com/currencies/cobinhood/,1956250.0,https://www.cobinhood.com/,"https://t.me/cobinhood , http://line.me/ti/g/F4Z6xniAWB",2017-10-02,3
107,Pillar,https://coinmarketcap.com/currencies/pillar/,PLR,https://www.feixiaohao.com/currencies/pillar/,546883.0,https://pillarproject.io/,,2017-07-25,3
108,DigitalNote,https://coinmarketcap.com/currencies/digitalnote/,XDN,https://www.feixiaohao.com/currencies/digitalnote/,32860000.0,http://digitalnote.org/,,,3
109,PACcoin,https://coinmarketcap.com/currencies/paccoin/,PAC,https://www.feixiaohao.com/currencies/paccoin/,637822.0,http://paccoin.net/,,,3
110,NAV Coin,https://coinmarketcap.com/currencies/nav-coin/,NAV,https://www.feixiaohao.com/currencies/nav-coin/,9677220.0,http://www.navcoin.org/,"https://t.me/navcoin , https://discord.gg/y4Vu9jw",2014-07-06,6
111,PayPie,https://coinmarketcap.com/currencies/paypie/,PPP,https://www.feixiaohao.com/currencies/paypie/,135405.0,https://www.paypie.com/,https://t.me/PayPie,2017-10-11,3
112,DEW,https://coinmarketcap.com/currencies/dew/,DEW,https://www.feixiaohao.com/currencies/dew/,1817930.0,https://dew.one/,https://t.me/dew_cn,2017-12-22,2
113,BridgeCoin,https://coinmarketcap.com/currencies/bridgecoin/,BCO,https://www.feixiaohao.com/currencies/bridgecoin/,531074.0,"https://www.crypto-bridge.org/ , https://bridgecoin.org/","https://t.me/CryptoBridge , https://join.slack.com/t/cryptobridge/shared_invite/MjI2OTAzNjU3MzYyLTE1MDI4MTUyNDItYzQ0OTgwMDc0Yg",2017-10-11,1
114,Blocknet,https://coinmarketcap.com/currencies/blocknet/,BLOCK,https://www.feixiaohao.com/currencies/blocknet/,427842.0,"http://blocknet.co/ , https://blocknetprotocol.com/","https://rocket.blocknet.co:8443/home , https://t.me/Blocknet",,3
115,SIRIN LABS Token,https://coinmarketcap.com/currencies/sirin-labs-token/,SRN,https://www.feixiaohao.com/currencies/sirin-labs-token/,8475560.0,http://www.sirinlabs.com/,https://t.me/sirinlabs,2017-12-28,1
116,Revain,https://coinmarketcap.com/currencies/revain/,R,https://www.feixiaohao.com/currencies/revain/,1436180.0,https://revain.org/,https://t.me/joinchat/CzZcC0PCgpJcbBCb3JfNeQ,2017-11-02,7
117,Vertcoin,https://coinmarketcap.com/currencies/vertcoin/,VTC,https://www.feixiaohao.com/currencies/vertcoin/,7155550.0,http://vertcoin.org/,https://discord.gg/SUy9Hsr,2014-01-06,11
118,iExec RLC,https://coinmarketcap.com/currencies/rlc/,RLC,https://www.feixiaohao.com/currencies/rlc/,5243670.0,http://iex.ec/,https://slack.iex.ec/,2017-04-19,9
119,Dynamic Trading Rights,https://coinmarketcap.com/currencies/dynamic-trading-rights/,DTR,https://www.feixiaohao.com/currencies/dynamic-trading-rights/,563308.0,http://www.tokens.net/,,2017-12-20,2
120,Storj,https://coinmarketcap.com/currencies/storj/,STORJ,https://www.feixiaohao.com/currencies/storj/,14322000.0,https://storj.io/,,2017-07-03,15
121,Bibox Token,https://coinmarketcap.com/currencies/bibox-token/,BIX,https://www.feixiaohao.com/currencies/bibox-token/,16175100.0,https://www.bibox.com/,https://t.me/joinchat/GAi9vQ5BEjR0mAxK5cdHjA,2017-12-24,0
122,Edgeless,https://coinmarketcap.com/currencies/edgeless/,EDG,https://www.feixiaohao.com/currencies/edgeless/,16255900.0,https://edgeless.io/,https://discord.gg/NQ4hPTu,2017-02-28,7
123,Ubiq,https://coinmarketcap.com/currencies/ubiq/,UBQ,https://www.feixiaohao.com/currencies/ubiq/,1246560.0,http://ubiqsmart.com/,https://discordapp.com/invite/HF6vEGF,2016-08-13,4
124,Storm,https://coinmarketcap.com/currencies/storm/,STORM,https://www.feixiaohao.com/currencies/storm/,2335410.0,https://stormtoken.com/,https://t.me/joinchat/GHTZGQwsy9mZk0KFEEjGtg,2017-12-20,1
125,Po.et,https://coinmarketcap.com/currencies/poet/,POE,https://www.feixiaohao.com/currencies/poet/,16065400.0,https://po.et/,"https://t.me/joinchat/GKMQ1kOQSdXVZpN1Rygcdw , https://discordapp.com/invite/uY3tca8",2017-09-02,7
126,DeepBrain Chain,https://coinmarketcap.com/currencies/deepbrain-chain/,DBC,https://www.feixiaohao.com/currencies/deepbrain-chain/,11619700.0,https://www.deepbrainchain.org/,http://t.me/deepbrainchain,2017-12-28,5
127,AirSwap,https://coinmarketcap.com/currencies/airswap/,AST,https://www.feixiaohao.com/currencies/airswap/,13856000.0,https://www.airswap.io/,,2017-10-18,5
128,Red Pulse,https://coinmarketcap.com/currencies/red-pulse/,RPX,https://www.feixiaohao.com/currencies/red-pulse/,6585260.0,https://www.red-pulse.com/landing,"https://t.me/redpulse , https://coin.red-pulse.com/slack",2017-10-29,0
129,Time New Bank,https://coinmarketcap.com/currencies/time-new-bank/,TNB,https://www.feixiaohao.com/currencies/time-new-bank/,24900700.0,http://tnb.fund/,"https://t.me/tnbgroup , https://t.me/tnb_en",2017-11-28,1
130,Monaco,https://coinmarketcap.com/currencies/monaco/,MCO,https://www.feixiaohao.com/currencies/monaco/,17193200.0,https://www.mona.co/,https://t.me/MonacoCard,2017-07-04,16
131,XTRABYTES,https://coinmarketcap.com/currencies/xtrabytes/,XBY,https://www.feixiaohao.com/currencies/xtrabytes/,957009.0,https://www.xtrabytes.global/,"https://t.me/xtrabytes_official , https://discord.gg/uGYPbnn",,3
132,Achain,https://coinmarketcap.com/currencies/achain/,ACT,https://www.feixiaohao.com/currencies/achain/,16499600.0,https://www.achain.com/,https://t.me/joinchat/GbZKzQ5-wexioFquTyAXmg,2017-08-27,13
133,Quantum Resistant Ledger,https://coinmarketcap.com/currencies/quantum-resistant-ledger/,QRL,https://www.feixiaohao.com/currencies/quantum-resistant-ledger/,14804500.0,https://theqrl.org/,https://discord.gg/BheKAZb,2017-03-21,3
134,Santiment Network Token,https://coinmarketcap.com/currencies/santiment/,SAN,https://www.feixiaohao.com/currencies/santiment/,16811700.0,https://santiment.net/,,2017-07-13,7
135,Enjin Coin,https://coinmarketcap.com/currencies/enjin-coin/,ENJ,https://www.feixiaohao.com/currencies/enjin-coin/,8738790.0,"https://www.enjin.com/ , https://enjincoin.io/",https://t.me/enjin_coin,2017-11-02,8
136,SpankChain,https://coinmarketcap.com/currencies/spankchain/,SPANK,https://www.feixiaohao.com/currencies/spankchain/,2266570.0,https://spankchain.com/,https://discord.gg/Rz48YYy,2017-11-24,3
137,BLOCKv,https://coinmarketcap.com/currencies/blockv/,VEE,https://www.feixiaohao.com/currencies/blockv/,3632490.0,https://blockv.io/,https://t.me/block_v,2017-11-29,3
138,INS Ecosystem,https://coinmarketcap.com/currencies/ins-ecosystem/,INS,https://www.feixiaohao.com/currencies/ins-ecosystem/,20042100.0,https://ins.world/,"https://t.me/ins_ecosystem , https://t.me/ins_ecosystem_cn",2018-01-11,3
139,AppCoins,https://coinmarketcap.com/currencies/appcoins/,APPC,https://www.feixiaohao.com/currencies/appcoins/,31568100.0,https://appcoins.io/,,2018-01-08,2
140,UTRUST,https://coinmarketcap.com/currencies/utrust/,UTK,https://www.feixiaohao.com/currencies/utrust/,5529610.0,https://utrust.io/,https://t.me/utrustofficial,2017-12-29,1
141,Aragon,https://coinmarketcap.com/currencies/aragon/,ANT,https://www.feixiaohao.com/currencies/aragon/,1541490.0,https://aragon.one/,,2017-05-17,5
142,ETHLend,https://coinmarketcap.com/currencies/ethlend/,LEND,https://www.feixiaohao.com/currencies/ethlend/,17955200.0,https://ethlend.io/,https://t.me/ETHLend,2017-12-01,10
143,Peercoin,https://coinmarketcap.com/currencies/peercoin/,PPC,https://www.feixiaohao.com/currencies/peercoin/,4986820.0,http://www.peercoin.net,https://t.me/peercoin,2012-08-19,19
