rank,name,link,symbol,website,chat
29,Populous,https://coinmarketcap.com/currencies/populous/,PPT,http://populous.co/,"https://bitpopulous.slack.com/ , https://t.me/ppttalk"
30,KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,KCS,https://www.kucoin.com/,
31,VeChain,https://coinmarketcap.com/currencies/vechain/,VEN,https://www.vechain.com/,"https://t.me/vechain_official_english , https://t.me/joinchat/GG4BlQwm19czcBGOewv40Q"
32,BitShares,https://coinmarketcap.com/currencies/bitshares/,BTS,https://bitshares.org,https://t.me/BitSharesDEX
33,Status,https://coinmarketcap.com/currencies/status/,SNT,http://status.im/,https://chat.status.im/#/register
34,Tether,https://coinmarketcap.com/currencies/tether/,USDT,https://tether.to,
35,Ardor,https://coinmarketcap.com/currencies/ardor/,ARDR,https://www.ardorplatform.org/,
36,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,DOGE,http://dogecoin.com/,https://discord.me/dogecoin/
37,Steem,https://coinmarketcap.com/currencies/steem/,STEEM,"https://steem.io/ , https://steemit.com/",
38,Augur,https://coinmarketcap.com/currencies/augur/,REP,http://www.augur.net/,
39,Dentacoin,https://coinmarketcap.com/currencies/dentacoin/,DCN,http://www.dentacoin.com/,https://t.me/dentacoin
40,Waves,https://coinmarketcap.com/currencies/waves/,WAVES,https://wavesplatform.com/,"https://telegram.me/wavesnews , http://wavesplatform.herokuapp.com/"
41,0x,https://coinmarketcap.com/currencies/0x/,ZRX,https://0xproject.com/,
42,Dragonchain,https://coinmarketcap.com/currencies/dragonchain/,DRGN,https://dragonchain.com/,https://t.me/dragontalk
43,DigiByte,https://coinmarketcap.com/currencies/digibyte/,DGB,http://www.digibyte.io/,https://t.me/DigiByteCoin
44,WAX,https://coinmarketcap.com/currencies/wax/,WAX,https://wax.io/,"https://t.me/wax_io , https://t.me/waxtokenannoucements"
45,Loopring,https://coinmarketcap.com/currencies/loopring/,LRC,https://loopring.org,https://loopring.rocket.chat/
46,Ark,https://coinmarketcap.com/currencies/ark/,ARK,http://ark.io/,https://ark.io/slack
47,Komodo,https://coinmarketcap.com/currencies/komodo/,KMD,https://komodoplatform.com/,https://telegram.me/KomodoPlatform_Official
48,Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,VERI,http://veritas.veritaseum.com/,
49,Hshare,https://coinmarketcap.com/currencies/hshare/,HSR,https://h.cash/,
50,SmartCash,https://coinmarketcap.com/currencies/smartcash/,SMART,https://smartcash.cc/,
51,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,GNT,https://golem.network/,
52,Electroneum,https://coinmarketcap.com/currencies/electroneum/,ETN,http://electroneum.com/,https://t.me/joinchat/DxoSakHOdk5mqsE-LelfVg
53,Decred,https://coinmarketcap.com/currencies/decred/,DCR,"https://www.decred.org/ , https://docs.decred.org/","https://slack.decred.org/ , https://discord.gg/GJ2GXfz"
54,Dent,https://coinmarketcap.com/currencies/dent/,DENT,https://www.dentcoin.com/,https://t.me/dentcoin
55,Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,BAT,https://basicattentiontoken.org/,
56,PIVX,https://coinmarketcap.com/currencies/pivx/,PIVX,http://www.pivx.org,
57,QASH,https://coinmarketcap.com/currencies/qash/,QASH,https://liquid.plus/,https://t.me/QUOINE
58,SALT,https://coinmarketcap.com/currencies/salt/,SALT,https://www.saltlending.com/,https://t.me/joinchat/BmtZ5kKgf4ekiNLggHRDmQ
59,MediBloc,https://coinmarketcap.com/currencies/medibloc/,MED,https://medibloc.org/en/,https://t.me/medibloc
60,Byteball Bytes,https://coinmarketcap.com/currencies/byteball/,GBYTE,https://byteball.org/,https://t.me/byteball
61,Kyber Network,https://coinmarketcap.com/currencies/kyber-network/,KNC,https://kyber.network/,https://t.me/kybernetwork
62,Bytom,https://coinmarketcap.com/currencies/bytom/,BTM,http://bytom.io/,"https://t.me/BytomInternational , https://t.me/bytomchinese"
63,FunFair,https://coinmarketcap.com/currencies/funfair/,FUN,https://funfair.io/,"https://t.me/FunFairTech/ , https://discordapp.com/invite/rwETqSP"
64,Ethos,https://coinmarketcap.com/currencies/ethos/,ETHOS,https://www.ethos.io/,
65,Walton,https://coinmarketcap.com/currencies/walton/,WTC,http://www.waltonchain.org/,https://t.me/waltonchain_en
66,Experience Points,https://coinmarketcap.com/currencies/experience-points/,XP,http://www.xpcoin.io/,"https://t.me/xpcoin , https://discordapp.com/invite/NYMAUec"
67,Power Ledger,https://coinmarketcap.com/currencies/power-ledger/,POWR,https://powerledger.io/,https://t.me/joinchat/Gop-90DIMiPF7N_EtvFzjA
68,ReddCoin,https://coinmarketcap.com/currencies/reddcoin/,RDD,http://www.reddcoin.com/,
69,GXShares,https://coinmarketcap.com/currencies/gxshares/,GXS,https://gxs.gxb.io/,
70,Factom,https://coinmarketcap.com/currencies/factom/,FCT,http://factom.org/,
71,Aeternity,https://coinmarketcap.com/currencies/aeternity/,AE,https://www.aeternity.com/,https://telegram.me/aeternity
72,ZClassic,https://coinmarketcap.com/currencies/zclassic/,ZCL,http://zclassic.org/,
73,Enigma,https://coinmarketcap.com/currencies/enigma-project/,ENG,https://enigma.co/,"https://t.me/enigmacatalyst , https://discord.gg/SJK32GY"
74,Substratum,https://coinmarketcap.com/currencies/substratum/,SUB,https://substratum.net/,https://t.me/SubstratumCommunity
75,Aion,https://coinmarketcap.com/currencies/aion/,AION,https://aion.network/,
76,Nexus,https://coinmarketcap.com/currencies/nexus/,NXS,http://www.nexusearth.com/,
77,Gas,https://coinmarketcap.com/currencies/gas/,GAS,https://neo.org/,
78,Request Network,https://coinmarketcap.com/currencies/request-network/,REQ,https://request.network/,"https://t.me/requestnetwork , https://open.kakao.com/o/g0Y6wJA"
79,aelf,https://coinmarketcap.com/currencies/aelf/,ELF,http://aelf.io/,https://t.me/aelfblockchain
80,Nxt,https://coinmarketcap.com/currencies/nxt/,NXT,https://nxt.org/,https://t.me/NXTCommunity
81,Neblio,https://coinmarketcap.com/currencies/neblio/,NEBL,https://nebl.io/,https://t.me/joinchat/GFVgz0G-oVXOIJGfFYD-vg
82,RChain,https://coinmarketcap.com/currencies/rchain/,RHOC,https://www.rchain.coop/,
83,MonaCoin,https://coinmarketcap.com/currencies/monacoin/,MONA,http://monacoin.org,
84,Cobinhood,https://coinmarketcap.com/currencies/cobinhood/,COB,https://www.cobinhood.com/,"https://t.me/cobinhood , http://line.me/ti/g/F4Z6xniAWB"
85,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,MAID,http://maidsafe.net,
86,Syscoin,https://coinmarketcap.com/currencies/syscoin/,SYS,http://syscoin.org,https://t.me/joinchat/AAAAAEHzByog3h1qutnjhQ
87,DigixDAO,https://coinmarketcap.com/currencies/digixdao/,DGD,https://digix.io/,
88,Kin,https://coinmarketcap.com/currencies/kin/,KIN,"http://kinecosystem.org/ , https://kin.kik.com",https://t.me/kincurrency
89,BitcoinDark,https://coinmarketcap.com/currencies/bitcoindark/,BTCD,http://bitcoindark.com/,http://slackinvite.supernet.org/
90,Gnosis,https://coinmarketcap.com/currencies/gnosis-gno/,GNO,https://gnosis.pm/,
91,Janus,https://coinmarketcap.com/currencies/janus/,JNS,https://janustoken.com/,
92,Santiment Network Token,https://coinmarketcap.com/currencies/santiment/,SAN,https://santiment.net/,
93,DigitalNote,https://coinmarketcap.com/currencies/digitalnote/,XDN,http://digitalnote.org/,
94,GameCredits,https://coinmarketcap.com/currencies/gamecredits/,GAME,http://gamecredits.com,https://discordapp.com/invite/vDEYBTc
95,Iconomi,https://coinmarketcap.com/currencies/iconomi/,ICN,https://www.iconomi.net/,
96,ZCoin,https://coinmarketcap.com/currencies/zcoin/,XZC,https://zcoin.io,https://discordapp.com/invite/4FjnQ2q
97,Bancor,https://coinmarketcap.com/currencies/bancor/,BNT,https://bancor.network/,https://telegram.me/bancor
98,ChainLink,https://coinmarketcap.com/currencies/chainlink/,LINK,https://smartcontract.com/,
99,Quantstamp,https://coinmarketcap.com/currencies/quantstamp/,QSP,https://quantstamp.com/,https://t.me/quantstamp
100,Civic,https://coinmarketcap.com/currencies/civic/,CVC,https://www.civic.com/,
101,TenX,https://coinmarketcap.com/currencies/tenx/,PAY,https://www.tenx.tech/,
102,Raiden Network Token,https://coinmarketcap.com/currencies/raiden-network-token/,RDN,https://raiden.network/,"https://riot.im/app/#/room/#raiden-network:matrix.org , https://gitter.im/raiden-network/raiden"
103,Po.et,https://coinmarketcap.com/currencies/poet/,POE,https://po.et/,"https://t.me/joinchat/GKMQ1kOQSdXVZpN1Rygcdw , https://discordapp.com/invite/uY3tca8"
104,DeepBrain Chain,https://coinmarketcap.com/currencies/deepbrain-chain/,DBC,https://www.deepbrainchain.org/,http://t.me/deepbrainchain
105,BLOCKv,https://coinmarketcap.com/currencies/blockv/,VEE,https://blockv.io/,https://t.me/block_v
106,PACcoin,https://coinmarketcap.com/currencies/paccoin/,PAC,http://paccoin.net/,https://discordapp.com/invite/UNHeV8w
107,UTRUST,https://coinmarketcap.com/currencies/utrust/,UTK,https://utrust.io/,https://t.me/utrustofficial
108,iExec RLC,https://coinmarketcap.com/currencies/rlc/,RLC,http://iex.ec/,https://slack.iex.ec/
109,Red Pulse,https://coinmarketcap.com/currencies/red-pulse/,RPX,https://www.red-pulse.com/landing,https://coin.red-pulse.com/slack
110,XPlay,https://coinmarketcap.com/currencies/xplay/,XPA,https://xplay.fund/,https://t.me/joinchat/CvaXNg4T_y13oqxdix9y9w
111,Storm,https://coinmarketcap.com/currencies/storm/,STORM,https://stormtoken.com/,https://t.me/joinchat/GHTZGQwsy9mZk0KFEEjGtg
112,Enjin Coin,https://coinmarketcap.com/currencies/enjin-coin/,ENJ,"https://www.enjin.com/ , https://enjincoin.io/",https://t.me/enjin_coin
113,ETHLend,https://coinmarketcap.com/currencies/ethlend/,LEND,https://ethlend.io/,https://t.me/ETHLend
114,Skycoin,https://coinmarketcap.com/currencies/skycoin/,SKY,http://skycoin.net/,
115,Achain,https://coinmarketcap.com/currencies/achain/,ACT,https://www.achain.com/,https://t.me/joinchat/GbZKzQ5-wexioFquTyAXmg
116,AppCoins,https://coinmarketcap.com/currencies/appcoins/,APPC,https://appcoins.io/,
117,Emercoin,https://coinmarketcap.com/currencies/emercoin/,EMC,http://emercoin.com/,
118,Storj,https://coinmarketcap.com/currencies/storj/,STORJ,https://storj.io/,
119,Time New Bank,https://coinmarketcap.com/currencies/time-new-bank/,TNB,http://tnb.fund/,"https://t.me/tnbgroup , https://t.me/tnb_en"
120,NAV Coin,https://coinmarketcap.com/currencies/nav-coin/,NAV,http://www.navcoin.org/,"https://t.me/navcoin , https://discord.gg/y4Vu9jw"
121,Pillar,https://coinmarketcap.com/currencies/pillar/,PLR,https://pillarproject.io/,
122,Cryptonex,https://coinmarketcap.com/currencies/cryptonex/,CNX,https://cryptonex.org/,
123,AirSwap,https://coinmarketcap.com/currencies/airswap/,AST,https://www.airswap.io/,
124,Vertcoin,https://coinmarketcap.com/currencies/vertcoin/,VTC,http://vertcoin.org/,https://discord.gg/SUy9Hsr
125,PayPie,https://coinmarketcap.com/currencies/paypie/,PPP,https://www.paypie.com/,https://t.me/PayPie
126,XTRABYTES,https://coinmarketcap.com/currencies/xtrabytes/,XBY,https://www.xtrabytes.global/,"https://t.me/xtrabytes_official , https://discord.gg/uGYPbnn"
127,Particl,https://coinmarketcap.com/currencies/particl/,PART,http://particl.io/,"https://t.me/particlproject , https://t.me/particlnews"
128,VIBE,https://coinmarketcap.com/currencies/vibe/,VIBE,https://www.vibehub.io/,https://discordapp.com/invite/rDJTpxC
129,BridgeCoin,https://coinmarketcap.com/currencies/bridgecoin/,BCO,"https://www.crypto-bridge.org/ , https://bridgecoin.org/","https://t.me/CryptoBridge , https://join.slack.com/t/cryptobridge/shared_invite/MjI2OTAzNjU3MzYyLTE1MDI4MTUyNDItYzQ0OTgwMDc0Yg"
130,Simple Token,https://coinmarketcap.com/currencies/simple-token/,OST,https://simpletoken.org/,https://www.t.me/simpletoken
131,Blocknet,https://coinmarketcap.com/currencies/blocknet/,BLOCK,"http://blocknet.co/ , https://blocknetprotocol.com/","https://rocket.blocknet.co:8443/home , https://t.me/Blocknet"
132,Ubiq,https://coinmarketcap.com/currencies/ubiq/,UBQ,http://ubiqsmart.com/,https://discordapp.com/invite/HF6vEGF
133,BitBay,https://coinmarketcap.com/currencies/bitbay/,BAY,http://bitbay.market/,"https://t.me/bitbayofficial , https://discord.gg/sP8b66W"
134,Centra,https://coinmarketcap.com/currencies/centra/,CTR,https://www.centra.tech/,https://t.me/centratech
135,Revain,https://coinmarketcap.com/currencies/revain/,R,https://revain.org/,https://t.me/joinchat/CzZcC0PCgpJcbBCb3JfNeQ
136,Monaco,https://coinmarketcap.com/currencies/monaco/,MCO,https://www.mona.co/,https://t.me/MonacoCard
137,Edgeless,https://coinmarketcap.com/currencies/edgeless/,EDG,https://edgeless.io/,https://discord.gg/NQ4hPTu
138,WaBi,https://coinmarketcap.com/currencies/wabi/,WABI,https://wacoin.io/,"https://t.me/wabiico , http://slack.wacoin.io/"
139,Dynamic Trading Rights,https://coinmarketcap.com/currencies/dynamic-trading-rights/,DTR,http://www.tokens.net/,
140,Counterparty,https://coinmarketcap.com/currencies/counterparty/,XCP,http://counterparty.io/,
141,Unikoin Gold,https://coinmarketcap.com/currencies/unikoin-gold/,UKG,"https://unikrn.com/ , https://unikoingold.com/",https://discord.gg/NXkejuN
142,Ripio Credit Network,https://coinmarketcap.com/currencies/ripio-credit-network/,RCN,https://ripiocredit.network/,https://t.me/RCNchat
143,Peercoin,https://coinmarketcap.com/currencies/peercoin/,PPC,http://www.peercoin.net,https://t.me/peercoin
144,Aragon,https://coinmarketcap.com/currencies/aragon/,ANT,https://aragon.one/,
145,SingularDTV,https://coinmarketcap.com/currencies/singulardtv/,SNGLS,"https://singulardtv.com/ , https://medium.com/@SingularDTV",https://singulardtv.slack.com/
146,Gulden,https://coinmarketcap.com/currencies/gulden/,NLG,https://gulden.com/,
147,Oyster Pearl,https://coinmarketcap.com/currencies/oyster-pearl/,PRL,https://oyster.ws/,https://t.me/oysterprotocol
148,Decentraland,https://coinmarketcap.com/currencies/decentraland/,MANA,https://decentraland.org/,"https://chat.decentraland.org/ , https://t.me/dcl_market"
149,ATMChain,https://coinmarketcap.com/currencies/attention-token-of-media/,ATM,https://www.atmchain.io/,
150,SIRIN LABS Token,https://coinmarketcap.com/currencies/sirin-labs-token/,SRN,http://www.sirinlabs.com/,https://t.me/sirinlabs
151,SONM,https://coinmarketcap.com/currencies/sonm/,SNM,https://sonm.io/,https://t.me/sonm_eng
152,Modum,https://coinmarketcap.com/currencies/modum/,MOD,https://modum.io/,
153,district0x,https://coinmarketcap.com/currencies/district0x/,DNT,https://district0x.io/,
154,Cindicator,https://coinmarketcap.com/currencies/cindicator/,CND,https://cindicator.com/,"https://t.me/cindicator_chat , https://t.me/cindicator_news"
155,CyberMiles,https://coinmarketcap.com/currencies/cybermiles/,CMT,https://cm.5miles.com/,https://t.me/cybermilestoken
156,IoT Chain,https://coinmarketcap.com/currencies/iot-chain/,ITC,https://iotchain.io/,"https://t.me/IoTChain , http://qm.qq.com/cgi-bin/qm/qr?k=CjS_9da0Uj5SfXX8Wm1PIDuL_Nbjzmc3"
157,NAGA,https://coinmarketcap.com/currencies/naga/,NGC,https://www.nagaico.com/,https://t.me/nagaico
158,AdEx,https://coinmarketcap.com/currencies/adx-net/,ADX,https://www.adex.network/,https://t.me/AdExNetwork
159,Etherparty,https://coinmarketcap.com/currencies/etherparty/,FUEL,https://etherparty.com/,https://t.me/etherparty
160,Streamr DATAcoin,https://coinmarketcap.com/currencies/streamr-datacoin/,DATA,https://www.streamr.com/,https://chat.streamr.com/
161,Wagerr,https://coinmarketcap.com/currencies/wagerr/,WGR,https://www.wagerr.com/,https://discordapp.com/invite/tkcXS34
162,Einsteinium,https://coinmarketcap.com/currencies/einsteinium/,EMC2,https://www.emc2.foundation/,
163,SpankChain,https://coinmarketcap.com/currencies/spankchain/,SPANK,https://spankchain.com/,https://discord.gg/Rz48YYy
164,ZenCash,https://coinmarketcap.com/currencies/zencash/,ZEN,https://zensystem.io/,"https://t.me/zencash , https://discord.gg/9kXQFHx"
165,Viacoin,https://coinmarketcap.com/currencies/viacoin/,VIA,http://viacoin.org,https://telegram.me/viacoin
166,Quantum Resistant Ledger,https://coinmarketcap.com/currencies/quantum-resistant-ledger/,QRL,https://theqrl.org/,https://discord.gg/BheKAZb
167,LBRY Credits,https://coinmarketcap.com/currencies/library-credit/,LBC,https://lbry.io/,
168,Nuls,https://coinmarketcap.com/currencies/nuls/,NULS,https://nuls.io/,"https://t.me/Nulsio , https://join.slack.com/t/nuls/shared_invite/enQtMjQ4MTM4ODAyNTI4LWJjNGMwYTE0YjRlYmFlZGUwM2JhOGE4MDIwZmE4MzA2MDg1YzUyMmVkN2RhZjkyNWMzZjY5ZDU5ZmViMjZjNGQ"
169,Bread,https://coinmarketcap.com/currencies/bread/,BRD,https://token.breadapp.com/en/,https://t.me/joinchat/HB6JsUq7-w-y6l5DrfRV-A
170,Ambrosus,https://coinmarketcap.com/currencies/amber/,AMB,http://ambrosus.com/,"https://t.me/AmbrosusAMB , https://discordapp.com/invite/jbmWg8c"
171,Wings,https://coinmarketcap.com/currencies/wings/,WINGS,https://wings.ai/,https://telegram.me/wingschat
172,Gifto,https://coinmarketcap.com/currencies/gifto/,GTO,https://gifto.io/,"https://t.me/GIFTOOfficial , https://open.kakao.com/o/ggLQMiC"
173,Dimecoin,https://coinmarketcap.com/currencies/dimecoin/,DIME,"http://www.dimecoin.rocks/ , http://www.dimecoin.com.co/",https://discord.gg/Aq3Vsgq
174,Metaverse ETP,https://coinmarketcap.com/currencies/metaverse/,ETP,https://mvs.org/,https://metaverse-project.herokuapp.com/
175,Triggers,https://coinmarketcap.com/currencies/triggers/,TRIG,https://www.blocksafefoundation.com/,
176,Asch,https://coinmarketcap.com/currencies/asch/,XAS,https://www.asch.io/,https://t.me/joinchat/F5GtMA2hHXXoeuHdiPiooA
177,Burst,https://coinmarketcap.com/currencies/burst/,BURST,https://www.burst-coin.org,"https://t.me/burstcoin , https://discord.gg/Z2HSNFv"
178,FirstBlood,https://coinmarketcap.com/currencies/firstblood/,1ST,https://firstblood.io/,
179,Melon,https://coinmarketcap.com/currencies/melon/,MLN,"https://melonport.com/ , https://ipfs.io/ipns/melon.fund/",
180,MobileGo,https://coinmarketcap.com/currencies/mobilego/,MGO,https://mobilego.io/,https://t.me/mobilego
181,SHIELD,https://coinmarketcap.com/currencies/shield-xsh/,XSH,https://shieldcurrency.com/,https://discord.gg/kgSXKrV
182,Eidoo,https://coinmarketcap.com/currencies/eidoo/,EDO,https://eidoo.io/,https://t.me/joinchat/F4ox3EO_ubynqlzakd6lKw
183,HempCoin,https://coinmarketcap.com/currencies/hempcoin/,THC,http://hempcoin.org/,
184,COSS,https://coinmarketcap.com/currencies/coss/,COSS,https://coss.io/,
185,Flash,https://coinmarketcap.com/currencies/flash/,FLASH,https://flashcoin.io/,https://discord.gg/2nFmMqA
186,Agoras Tokens,https://coinmarketcap.com/currencies/agoras-tokens/,AGRS,http://www.idni.org/,
187,Mooncoin,https://coinmarketcap.com/currencies/mooncoin/,MOON,"https://www.mooncoin.eco/ , http://mooncoin.com/",
188,Lunyr,https://coinmarketcap.com/currencies/lunyr/,LUN,https://lunyr.com/,
189,Voxels,https://coinmarketcap.com/currencies/voxels/,VOX,"https://www.voxelus.com/ , https://thevoxel.com/",https://t.me/voxelus
190,DECENT,https://coinmarketcap.com/currencies/decent/,DCT,https://decent.ch/,
191,Metal,https://coinmarketcap.com/currencies/metal/,MTL,https://www.metalpay.com/,
192,Tierion,https://coinmarketcap.com/currencies/tierion/,TNT,https://tierion.com/,
193,Agrello,https://coinmarketcap.com/currencies/agrello-delta/,DLT,"https://www.agrello.org/ , https://www.agrello.io/","https://t.me/agrello , https://discord.gg/czfnP2f"
194,WeTrust,https://coinmarketcap.com/currencies/trust/,TRST,https://www.wetrust.io/,
195,CloakCoin,https://coinmarketcap.com/currencies/cloakcoin/,CLOAK,https://www.cloakcoin.com/,"https://t.me/cloakproject , https://chat.cloakcoin.com"
196,Rise,https://coinmarketcap.com/currencies/rise/,RISE,https://rise.vision/,
197,Genesis Vision,https://coinmarketcap.com/currencies/genesis-vision/,GVT,https://genesis.vision/,"https://t.me/genesisvision , https://u.wechat.com/IL6s8kyYCLGz0S6t5HqJwr4"
198,Monetha,https://coinmarketcap.com/currencies/monetha/,MTH,https://www.monetha.io/,https://t.me/Monethagroup
199,Grid+,https://coinmarketcap.com/currencies/grid/,GRID,http://gridplus.io/,
200,Shift,https://coinmarketcap.com/currencies/shift/,SHIFT,http://www.shiftnrg.org,https://shiftnrg.ryver.com/application/login
201,CoinDash,https://coinmarketcap.com/currencies/coindash/,CDT,https://www.coindash.io/,
202,Hive,https://coinmarketcap.com/currencies/hive/,HVN,https://www.hive-project.net/,https://t.me/hiveprojectnet
203,iXledger,https://coinmarketcap.com/currencies/ixledger/,IXT,https://www.ixledger.com/,https://t.me/iXledger
204,Decision Token,https://coinmarketcap.com/currencies/decision-token/,HST,https://horizonstate.com/,https://t.me/horizonstate
205,YOYOW,https://coinmarketcap.com/currencies/yoyow/,YOYOW,https://yoyow.org/,https://t.me/HelloYOYOW
206,Snovio,https://coinmarketcap.com/currencies/snovio/,SNOV,https://tokensale.snov.io/,https://t.me/snovio_ico
207,Aeon,https://coinmarketcap.com/currencies/aeon/,AEON,http://www.aeon.cash/,
208,Presearch,https://coinmarketcap.com/currencies/presearch/,PRS,"https://www.presearch.io/ , https://presearchcommunity.com/",https://t.me/presearch
209,Ink,https://coinmarketcap.com/currencies/ink/,INK,https://ink.one/,https://t.me/joinchat/GHiS0A7C841w1NbTNwIYIQ
210,Groestlcoin,https://coinmarketcap.com/currencies/groestlcoin/,GRS,http://www.groestlcoin.org/,"http://t.me/groestl , https://discord.gg/8VURndr"
211,LAToken,https://coinmarketcap.com/currencies/latoken/,LA,https://sale.latoken.com/,https://t.me/latoken
212,DomRaider,https://coinmarketcap.com/currencies/domraider/,DRT,https://www.domraider.io/,
213,Jinn,https://coinmarketcap.com/currencies/jinn/,JINN,http://www.jinnlabs.com,
214,Spectrecoin,https://coinmarketcap.com/currencies/spectrecoin/,XSPEC,"https://spectreproject.io/ , http://coinwiki.info/en/SpectreCoin",https://t.me/spectrecoin
215,Feathercoin,https://coinmarketcap.com/currencies/feathercoin/,FTC,http://feathercoin.com,
216,Matchpool,https://coinmarketcap.com/currencies/guppy/,GUP,https://matchpool.co/,https://t.me/matchpool
217,adToken,https://coinmarketcap.com/currencies/adtoken/,ADT,https://adtoken.com/,
218,Datum,https://coinmarketcap.com/currencies/datum/,DAT,https://datum.org/,"https://t.me/datumnetwork , https://t.me/datumnetworkRU"
219,Cofound.it,https://coinmarketcap.com/currencies/cofound-it/,CFI,https://cofound.it/,
220,TokenCard,https://coinmarketcap.com/currencies/tokencard/,TKN,http://tokencard.io/,
221,Namecoin,https://coinmarketcap.com/currencies/namecoin/,NMC,https://www.namecoin.org/,https://telegram.me/namecoin
222,Pura,https://coinmarketcap.com/currencies/pura/,PURA,http://www.pura.one/,
223,SaluS,https://coinmarketcap.com/currencies/salus/,SLS,http://saluscoin.info/,
224,Pascal Coin,https://coinmarketcap.com/currencies/pascal-coin/,PASC,http://www.pascalcoin.org/,https://t.me/pascalcoin
225,Viberate,https://coinmarketcap.com/currencies/viberate/,VIB,https://www.viberate.com/,https://t.me/joinchat/F-zenkQffjbGY7YqqSQl1w
226,TaaS,https://coinmarketcap.com/currencies/taas/,TAAS,https://taas.fund/,
227,MinexCoin,https://coinmarketcap.com/currencies/minexcoin/,MNX,https://minexcoin.com/,https://t.me/minexcoin
228,Delphy,https://coinmarketcap.com/currencies/delphy/,DPY,https://delphy.org/,
229,Elastic,https://coinmarketcap.com/currencies/elastic/,XEL,https://www.elastic.pw/,
230,I/O Coin,https://coinmarketcap.com/currencies/iocoin/,IOC,http://iocoin.io/,"https://t.me/joinchat/CqVqS0O3PjCTx9bfp4CwOQ , https://iocoin.slack.com/"
231,Synereo,https://coinmarketcap.com/currencies/synereo/,AMP,"http://www.synereo.com/ , https://wildspark.me/",https://discordapp.com/invite/xrm56DV
232,Pepe Cash,https://coinmarketcap.com/currencies/pepe-cash/,PEPECASH,"http://rarepepedirectory.com/ , http://rarepepewallet.com",
